University/College,Ratings,Reviews,Source
"Kommuri Pratap Reddy Institute of Technology, Ghatkesar",3.8,"Good infrastructure and improving placements The college infrastructure is quite good and improving every year. There are smart improving every year. There are smart classrooms with projectors ,WI-FI across the campus ,well - equiped labs, and a peaceful environment for studying. The new canteen is also better than before. Academics are decent with supportive and experienced faculty .Most of the faculty explain concepts clearly and help students when they needed. CRT and apptitude classes are conducted regularly ,which help students prepare for placements. Placements are average but improving year by year. The college provides good training opportunities like mock tests, apptitude sessions and coding practice. Some good companies visit the campus , and students who are well prepared can get placed. KPRIT is good choice for students looking for a decent college with improving placements ,good infrastructure , and active campus life.",Career360
"Basaveshwar Arts and Commerce College, Bijapur",3.7,"Built for those who aim beyond limits This college have very good library and so many labs. Like computer lab, different types of labs. And mainly it have very large ground. And very peaceful classrooms. And maintenance was very good. It has conducted so many games like cricket and football and tennis and many more. Teachers are very helpful and high qualifying teachers available in these college. And there teaching quality was very good and simply superb using simple words and simple methods. And the teachers was to move on to the students very friendly and casually. The highest salary package offered was around 3.5LPA. placement officer is very supportive and helpful, they provide per-placements program, it helps to crack the interview. Top companies like TCS, Infosys, tata motors etc. Nothing",Career360
"Faculty of Law, University of Delhi, Delhi",3.5,"One of the best college to pursue higher education. Infrastructure is average but not very modern. Research spaces and classrooms are good and spacious. The library is beautiful and has a good collection of legal books . But the sitting capacity is not that big. Overall facilities are okay. Academics are research focused and requires a lot of self study. You need to read many papers, case laws and work seriously on your thesis. Some teachers are very supportive, but overall progress depend on individuals effort. There is no direct placement like other courses. Majority of the student go into teaching, research or policy related work after PhD. Some also go for higher studies. Opportunities are there but everything depends on your research work, publications and networking.",Career360
Delhi Metropolitan Education Noida,4.6,Business is needed for every field and this institution provide hand in experience along with the course study to students to excel in their career Numerous courses like six sigma belt Data analytics Soft skills and management And professional image and Management That contributes in real life beneficiary of child Value added courses and chance of getting into IIM for competition and college participation,Collegedunia
Berhampur University,2.9,"The fees at Berhampur University generally remain stable. Since it is a government regulated university, there is no regular yearly fee hike like private colleges. Changes happen only if the state government revises the structure, which is rare, so students admitted in a batch typically pay almost the same amount throughout the two years. The addmission amount for M.sc Electronic is 8212(1st year) 1612( 2nd year) Each semester fee around (1000 to 1500) One time seminar fee (1000 to 2000) For hostel 20000 to 22000 for 2 year (meal not include) Mess food par meal 35 rupees/- In a month compulsory 40 meal (1400 to 2100)",Collegedunia
"VIT AP School of Business, Amaravati",3.3,"I prefer anyone this college, cause I had really good exper. Hey, VIT-AP University's campus in Amaravati is seriously impressiveÃ¢ÂÂit's this huge 200-acre spread that's growing fast and feels super vibrant right in the heart of the city.I mean, walking around, you can tell theyÃ¢ÂÂve put a ton of thought into making it a place where you actually want to spend your days studying and chilling.Academic SetupThe main teaching hubs are these two big blocksÃ¢ÂÂAB1 named after Sarvepalli Radhakrishnan and AB2 after APJ Abdul KalamÃ¢ÂÂboth fully air-conditioned and packed with cool stuff. Classrooms are roomy, fitting about 70 students at those double desks, and you've got high-tech computer labs, physics and chemistry setups, plus specialized spots like robotics, fluid dynamics, and materials engineering clinics. There's even a third block called CB with more classrooms and Wi-Fi everywhereÃ¢ÂÂfloors are all AC'd up, ventilation looks sleek, and it just makes learning feel effortless. VIT-AP's academics shine with modern blocks like AB1 and AB2, featuring AC classrooms for 70 students, high-tech labs for physics, chemistry, robotics, and engineering clinics. Wi-Fi everywhere and sleek ventilation create an inspiring vibeÃ¢ÂÂperfect for focused learning and research. Top-notch faculty make classes engaging too. VIT-AP University's placements rock, especially for 2025 grads. Top packages hit INR 27 LPA, with averages around 14.43 LPA, and over 3,500 ""Dream Offers"" above 5.5 LPA from giants like Microsoft, TCS, Cognizant, Amazon, and JP Morgan. Recruiters love the skilled talentÃ¢ÂÂnearly 900 companies visited last year, placing thousands with super dream offers up to 41 LPA. Solid training seals the deal! VIT-AP has been a game-changer for me. The sprawling 200-acre campus blew me away with its sleek AC classrooms in AB1 and AB2, packed labs for robotics and more, plus nonstop Wi-FiÃ¢ÂÂlearning feels futuristic. Placements crushed it too, landing friends at Microsoft and Amazon with avg 14 LPA packages after solid training.Campus life rocks with VITopia fests, 70+ clubs, sports complexes, and buzzing hostelsÃ¢ÂÂperfect balance of fun and grind.",Career360
"CMR Institute of Technology, Hyderabad",3.5,"Good experience in college and having joyful with studies. Present I'm studying in Cmrit college. College have large and big playground, central library with auditorium.It is out side of the city with full of peace. Where college is good and clean with discipline.All the faculty support the students. Faculty are described as qualified and supportive,with a strong focus on practical knowledge. Where college follows JNTUH rules and it as UCC A+ grade.But students need extra self learning to ready for exams. Around 65-70 percent of students from our course got placed. The highest package is around 42 LPA, the lowest package is 3 LPA, and the average is between 6.5 and 5.5 LPA. Top hiring companies are Infosys (System engineer), Accenture, Cognizant, Capgemini and a few startups. 30 to 40 percent students got internships, mainly in service-based compan es and small tech firms, through both on-campus and off-campus. The roles offered are software engineer, Associate engineer, System Analyst,etc..",Career360
"Acropolis Institute of Technology and Research, Bhopal",3.7,"Good academic, social, personal and professional growth. The college infrastructure is decent and well-maintained. There are spacious classrooms, computer labs, and a library with good resources. The laboratories have all the equipments. They also provide hostels with good wifi connection. I am currently persuing M.Tech. The quality of teaching is really good. Faculty members are experienced, friendly and supportive and explain concepts well. Regular tests and skill developed programs are conducted. The quality of placements at my college is good. The percentage of students placed were 60-70%. Companies like TCS, Cognizant, and other firms visit the campus. The placement cell is supportive enough.",Career360
"Andhra University College of Engineering, Visakhapatnam",3.2,"It was good experience to join in this campus The infrastructure at Andhra University is considered well-developed and extensive, as it is one of the oldest universities in India. The morning air feels fresh as you step through the gates. The campus is hugeÃ¢ÂÂso wide that it almost feels like a small town of its own. Tall trees line the roads, and students walk or ride bicycles between buildings that have stood there for decades, quietly holding stories of generations. Then come the labs and practical sessions. Whether youÃ¢ÂÂre in science, engineering, or another field, this is where theory turns real. You and your classmates gather around equipment, sometimes confused, sometimes excited, figuring things out step by step. ItÃ¢ÂÂs not always perfect, but it teaches patience and problem-solving. The big names come firstÃ¢ÂÂcompanies like TCS, Infosys, Amazon, Deloitte. Everyone gets excited. You and your friends sit together filling forms, checking eligibility, talking about resumes. Some students get shortlisted quickly. Good experience compare to all private college",Career360
"Poornima University, Jaipur",3.5,It's just nice having me here It is good but they could enhance the working area for bva students and update their pc for better knowledge they could even make the corridors pretty by making it more decorative not only one floor 3 It's good and teachers are very efficient they help us whenever we need them they never deny any work helps us too motivate us and they also make us perform in events they always have one or the other event They provide a good placement but still it's better to be finding ourselves as it it will enhance our circle and will provide more and more connections that will help in future a lot and that's better,Career360
Kurnool Medical College,4.0,"I am paying yearly college fee of 15000/- rupees.Registration fees for my course is 10000/- rupees.In the middle of the academic year fees for the records have to be paid,it is approximately 3000/- rupees.College fees is same for all categories but registration fees is 5000 for sc,st categories and 10000 for obc and oc categories.A yearly fee reimbursement of 15000/- rupees will be available as a scholarship for eligible students.",Collegedunia
"Unique College, Bhopal",2.6,"okay Wi-Fi is not available in this college. Labs are very small, and the classroom infrastructure is very bad. Libraries are very small. Hostel facilities are available, but the rooms are very small. There is no mess or a canteen. Medical facilities, sports and games are not available in this college. The faculty members are not so good compared to other colleges. The teaching quality is average. Semester exams are very simple. Fees is moderate. You have to write whatever you know. Academics are average. This college is the worst. It is the biggest mistake that I took admission here. Placements are very bad in this college. Internships are not provided. The course is very bad. It's almost like a correspondence school. Staff members are very bad. If you want a college with low fees, you can select this college.",Career360
LTSU,5.0,"Curriculum needs to focus on what you can do with information rather than the information itself. I wouldnât eliminate content, without background we cannot form good, rational, and educated conclusions. We are still giving timed tests in math facts! I know thatâs traditional, but it just isnât as important. My era had no calculators and we needed to be proficient at paper and pencil solutions, but now, perfect calculations are available to everyone. We should focus on what kinds of problems can be solved with mathematics. Spelling is equally less important. Vocabulary should be stressed. My sister years ago was taking a test for a personal assistant position where she was asked to type a large number of words per minute error free. She was laughing at such a test. She said no one does that anymore, they just type then run spell check. Technology is changing our NEEDS opinion is that curriculum should reflect our reality. No one gets paid to solve problems that have already been solved. Students should be exposed to solving problems they have not seen before but that can be solve with the content they have learned in class. This will help them develop problem solving strategies they will be able to use the rest of their lives",Collegedunia
"I Business Institute, Greater Noida",3.4,"Good college life Since the college provides only one course i.e., PGDM, the infrastructure is not that big. But it provides all necessities like wifi enabled classroom, sports area, badminton court, pool, library, auditorium. They also provide girls common room and boys common room. I am currently studying PGDM, and the curriculum is upto date with current market trends. They provide extra courses like advancve excel, cyber security, tableau and much more. They get us industry ready with provding so many practical exposure like live projects, summer interships and much more. I am currently in my first year, so we are preparing for our summer internship. Before this we did a live project as well, and had some industry visits as well. 70-75% of our seniors are placed as of now, the average package is around 10 lakhs. They provide both national as well as international internship opportunities.",Career360
"Delhi Metropolitan Education, Noida",3.5,"Great Environment, good infrastructure, Helpful faculties. The college has good infrastructure for students and most of the basic facilities are available on campus. Classrooms are spacious and comfortable for regular lectures. The library is useful for academic study and provides a peaceful environment. The academic environment of the college is good and supports students in their studies. Teachers are knowledgeable and explain concepts clearly in class. They also focus on practical knowledge overall the academic experience is good and beneficial for students. Average package is good for freshers. Students who have good communication skills and knowledge are able to crack high packages as well The placement cell really helps students by sharing updates and organising drives. Around 80-90 % students get placed in good companies. Overall, a nice college with supportive faculty and good exposure.",Career360
"Rajkiya Engineering College, Mainpuri",3.3,"My experience with this college is below average. The look of the college is good but there is issue of drinking water, and there is no nearby market there is network issue too, since the college is at outside location from main city there is need to improve coding environment. Don't depend on your teachers rely on self study, Teachers are qutie supportive in term of events even few teachers tries to bring more opportunity in the college, there are smart colleges in our class rooom. There is mainly sales and marketing companies, there are now big companies coming for hiring there is no tech companies coming for hiring students mostly rely on future studies focusing mainly on gate preparation you can try for offcampus placements.",Career360
"Sant Hirdaram Girls College, Bhopal",3.5,"good infrastructure: the infrastructure of college is so good and student-friendly. classrooms are clean and spacious . the library is helpful for study , and basic facilities like labs , drinking water and seating areas are well maintained. the infrastucture at sant hirdaram girls college is good and student-friendly. Classrooms are clean and spacious. the library is helpful for study, and basic facilities like labs, drinking water and seating areas are well maintained. the placement opportunities at sant hirdaram girls college are decent. the college provides guidance and support for internships and jobs. the placement cell helps students with training and career development. overall, the college offers supportive environment for learning a nd personal growth. student get opportunities to participate in academic and cultural activiies , which helps in building confidence and skills",Career360
"Galgotias University, Greater Noida",3.6,"Good for bca The infrastructure is one of the strong points. Computer labs are decent, classrooms are comfortable, and the campus has good facilities like Wi-Fi, cafeteria, and sports areas. Hostels are also okay, but food quality can be average sometimes. Faculty is mixed. Some teachers are really helpful, knowledgeable, and supportive, while others just follow the syllabus without much interest. If you attend classes regularly and ask questions, you can learn well. However, for BCA, you should not depend only on college teachingÃ¢ÂÂyou must do self-study and learn skills like programming, web development, etc. Placement is average for BCA students. The university does bring companies, but most offers are for basic roles with packages around 2Ã¢ÂÂ4 LPA. Big tech companies usually prefer B.Tech students, so BCA students need to work extra hard to get better opportunities. If you build strong skills (like coding, internships, projects), then you can get good placements off-campus as well. Galgotias University is good in terms of campus life and exposure, but average in terms of academics and placements for BCA. It is not a bad choice, but it is also not the best. Your success here will mainly depend on your own effort.",Career360
SSIPMT,3.9,"yearly fees - 84000rs sports fee - 250rs caution money - 1500rs tuition fee - 40200rs reservation category sc/st - 25000rs obc - 21000 rs transport (bus) - 20000rs I am a candidate for TWF (tuition fee waver) , by which i get a benifit for free education , for all 8 semesters .",Collegedunia
"Awadhesh Pratap Singh University, Rewa",3.9,"My experience in 3 year is fabulous. The college infrastructure is too good and the management of the college is very nice the colleges too neat and clean the sanitation of the college is also too good . The building of MBA department is look lik medieval period The academics of awadesh Pratap Singh University is marvelous all department academics are too good especially in MBA . The teachers are well qualify and and with experience of 10 to 12 years .i honestly like the college placement rate of the college is too good it's around average of 10 to 12 lakhs. They are many big industries companies are came to her college like Pratibha , Eicher,force motor and etc for HR department.",Career360
"DIT University, Dehradun",3.3,"till now my experience is great i am enjoying my college yes our college have all necessary facilities which will be required by any student. all classrooms, labs everything is well maintianed. living spaces all clean and food is also hygienic bdchbh bhdb c hd good campus with nice infrastructure and helpful faculty. placements are average overall a decent college if you focus on skills bbhcgd bhcdcbh bdhcbd hcdbchdc bdcbid bchdbchdc bdhcbdcbdhc bhcdicic bchdbc goood campus with nice infrastrtucture and helpful faculty placements are average and overall a decent college of you focus on skills hcbhdcbid hibdicbi bdcii bcidbci bcuiegc bciugc idicgbe bdcigdi bduic",Career360
"Jiwaji University, Gwalior",3.6,"Good placement opportunities The campus also offers high-speed Wi-Fi connectivity clean drinking water, and hygienic facilities additionally sports grounds and recreational areas encourage overall development. Overall the college infrastructure creates a positive atmosphere that supports both academic excellence and student well-being. The college maintains a strong focus on academic excellence by providing quality education and a well-structured curriculum experienced and knowledgeable faculty members ensure that concepts are clearly understood and encourage interactive learning. The college provides decent placement opportunities and actively supports students in building their careers the placement cell works regularly to connect students with companies and organizes training sessions such as aptitude tests mock interviews, and group discussions.",Career360
"Delhi Technological University, Delhi",3.9,"Very good College The college has very good infrastructure, including labs, library and sports facilities like basketball, cricket and GYM. The campus has wifi facilities which is very good for students and the campus is well maintained. The academics are very strong and one thing I personally loved is that they emphasise the internships and extra learnings apart from the curriculum. Faculty is also good and supportive for students. The curriculum definitely makes you job ready. Our college has a strong placement record, particularly for tech branches. Top recruiters like Google, Amazon, Zomato, and Microsoft etc. visit campus for placements. So if you make good efforts, you can have very good placement from the college.",Career360
"Jamia Millia Islamia, New Delhi",3.3,"Good research environment . Infrastructure is good but it is not very well maintained and modern. Research special and classrooms are also basic. The department library is helpful and has a good collection of books and research material. Oral facilities are okay but not very impressive. Academic are good. You get to work deeply on your topic and explore different areas of political science. Professors are also very supportive and knowledgeable but guidance can very from professor to professor. You need to be self motivated in your work. There are no direct placement for PhD students. Most of them going to teaching , research, or NGOs. Some also prepare for academic positions through NET/JRF. Career growth mainly defend on your efforts.",Career360
"Vishwakarma Institute of Technology, Pune",3.7,This college is reputed and have good rankings . College do have a good infrastructure.But do have a small ground and there are 2 campus. All facilities are provided there is everything a student needs for a particular course so all in all good infrastructure. College do have a good academics. It is autonomous college so syllabus is decided by faculty and it is relevant and updated as per need required in industry. And good pattern of examination.Teachers are well qualified. College do have good placement opportunities. But since two years as merger had happened placements will tend to flactuate as intake is too much. So good placement but lot of competition and opportunities.,Career360
"Tetso College, Dimapur",3.6,"Thanks for letting me review my College Features like modern infrastructure, including a sprawling campus, Wi-Fi-enabled classrooms with projectors, a vast library, and the Tetso Arena sports complex (badminton, basketball, gym). It offers specialized facilities like the Lauren Hall auditorium, 5 computer labs, psychology labs, and a 120KW solar power plant.I think this is what students need and the College has provided and all these above mentioned are maintained very utmost care and neat and clean. The College looks into the Holistic development and personality growth,.Professors are extremely good and they are well experienced and qualified in their subjects matters. They used to guide and support students through various platforms. THEY updated us the other extra curriculum. The Placement Cell at Tetso College is doing their best role in giving maximum support and opportunity for the students especially for the final year students offers comprehensive career counseling, The job placement give support, and internship opportunities by connecting students with industry partners. Located at Sovima, ChÃÂ¼moukedima, it focuses on skill development, organizes recruitment .and many have been placed at different locations in the past years. Good College with high tech facilities.",Career360
"RE Society's RP Gogate College of Arts and Science and RV Jogalekar College of Commerce, Ratnagiri",1.5,Academic teaching is poor quality. Syllabus is way older than the current trends in the present market or world. Student has to update himself in order to stay update with the current trends. Faculty is below average.,Collegedunia
"Rayat Bahra University School of Management Studies, Mohali",3.6,"Good and healthy experience Well Infrastructure Best location Equipments to enhance practical knowledge Proper ventilation and airy rooms Equipped laboratories, Internet WiFi Newspapers facility to get trend knowledge and student mess Pursuing BBA - Digital marketing at Rayat Bahra University - Getting Basic knowledge about Business Administration And Basic key skills Quality of teaching - Good It provides education at sunstone Campus drive 26 LPA Above 60 percent - for getting placed Placement happens on the basis of mainly Prime subjects like prime communication, Prime Aptitude They check and train prime subjects Supporting",Career360
Adithya Institute of Technology Coimbatore,2.7,"Faculty were very good, solving queries at their busy schedule. I cannot mention names of the faculty i din't like but there are some because of them college was very tough There are 48 main exams overall some are really tough, but faculty will help students to get through it , with regular revisions.",Collegedunia
"SIES College of Arts Science and Commerce, Mumbai",3.9,Giving a review so other students future can be saved and th Great college and nice infrastructure must stay vintage vibes with good facilities of ac classroom and labs all washroom are quipped with fragrances and auto flushers great infrastructure with projectors in all class Currently pursuing BMs in capital markets and it has been really a great experience helpful faculty and great notes provided by them for study papers settled up are great and nice teaching lessons great insight No IÃ¢ÂÂm not sure of placement as I have my own family business which earns more than any placement could I am just here to complete my academic profession and get a degree so can get insights more about stock markets I must kinda okay as IÃ¢ÂÂm from icse board you hardly find any one from your board most students here are broke and act as if theyÃ¢ÂÂre cool kids but irl theyÃ¢ÂÂre dammn uncool and not give the great vibes,Career360
SPSU,5.0,"Its a very good college here we get overall development of our personality also students of the college are very talented and friendly , they come from almost every part of the country. Apart from theory a huge time is invested on hands on learning so you can learn industrial applications of the subject.",Collegedunia
"Andhra University College of Engineering, Visakhapatnam",3.1,"Better to chose another college Yes the college infrastutre is nice ,but they dont maintain it clean ,we have beautiful locations We have dont have proper equpiment It was oldest university in andhra pradesh No proper washroom maintance Currently i am pursing b.tech third year and i selected computer science and enginnering It is a better course for furture purpose Here some times faculty may not come Sometimes they extra class. Teaching is bad they use were ppt in board and tell We have less placements offers compare to others colleges In older days we have high placements among in andhra pradesh but came today we have less placements Overall there conlusion there are less placements",Career360
"Jagannath Gupta Institute of Medical Sciences and Hospital, Kolkata",3.7,"It's overall a good experience . This college is has a great infrastructure and does have all basic amenities that concerns the academical and the medical services. This college is though strict regarding the academic formative assesments and all other semester examination but is vastly management dominated and does have a lot of influence of management during the duty hours . Faculty at the institute is Mix of both good and bad but is very particular regarding the student's performance. It does have an amazing library which is undoubtedly the highlight of this college and is a great space for all sorts of academic discussion. Hostel is good and does have attached washroom and has different options such as single or sharing room which is available in variants of air conditioner or not . Overall the college is good and is improving every passing day . I studied MBBS at my college and it does offer other courses in our college like BSC Nursing, JNM nursing, paramedical. Academics is taken very seriously here and the students are tested for every upcoming semester via formative assessments which are assessed properly via the faculties. Faculty at the institute is great and is easily approachable at the time of doubt. It's a college which provides placement according to the merit. There's a campus placement option via which just after completing the internship here we can apply for such jobs. There is option of in-house jr ship after completion of internship. Package offered at the place is average (better packages might be available outside) . Around 70% of people who aren't preparing for post graduation exam r getting their placement immediately after completion of the internship in this college Overall it's a good experience",Career360
JMC Trichy,4.2,70% faculties are friendly one 30% faculties are strict and sometimes rude.most of 70% faculties provide books to us sometime snacks some time counselling and career guidance to us.best faculties are teach lessons clearly and answer to our doubts still we are able to clearly understood the concept and they have to be regular and punctual to all classes dont waste our time in class hours.sometimes crazy talks are fine but 95% class should be productive.some of faculties i didint like they are irregular class just teach shallowly keep vengence and harsh words to students.90%crack exams some urregular attendees and they didnt study involved in social media and unwanted stuffs.the curiculum is good.,Collegedunia
BGS College of Engineering and Technology Bangalore,5.0,"Our college offers yearly fees of 500000 per annum for management quota, 310000 per annum for COMEDK and 145000. I got a seat in this univertsity under COMEDK and I pay 310000 yearly. Our college also offers scholarships for students. My friend has got a seat in this university under Management quota and pays 500000 anually.",Collegedunia
"CM College, Darbhanga",1.5,I studied BA in Hindi honours (2020-2023). The teaching quality is very poor because faculties do not take classes because students do not go to classes they often stay at home rather than going college for classes.,Collegedunia
Alamuri Ratnamala Institute of Engineering and Technology Thane,0.5,All are coming and going in 6 month one year not permanent staff and also don't have much knowledge as well as explaining and delivering that knowledge didn't have proper knowledge they are also recently graduate but and it is and all types of but they can't able to deliver proper knowledge to the student that's why,Collegedunia
"Indian Institute of Hotel Management and Culinary Arts, Hyderabad",3.2,Our college is the best and highly recommend The campus is neat and well organized with modern classrooms. Training kitchens and labs are equipped with professional tools that help students learn practical skills easily. College has well equipped kitchens The curriculum focuses on both theory and practical training. Faculty members guide students in developing hospitality and culinary skills. Currently I'm pursuing BHMÃÂT 6th sem which is well designed asper thr industry standards Top hotel brands visit the campus for recruitment. Students also get internship opportunities in reputed hotels.our college provides national and international placements assistance and individual attention regarding placement,Career360
"Hansraj College, Delhi",4.1,"Best college in DU The college infrastructure have so many departments and the librarys are different for each of the department, a superb delicious food serving canteen is also there and washrooms and even common rooms are neat and clean always As you know this college comes under North campus of the Delhi University so that the university tries to provide everything much better than to other campuses so the faculty is very much talented and holds such a big experience Placements are very very nice as Hansraj College is one of the best colleges of the Delhi and as well as the Delhi University so the companies are happy to get students from this part of the university in their company",Career360
"Santosh Law College, Mhasrul",3.2,An average choice with noticeable issues I would say this college does provide basic amenities to sustain and study for 3 years as per my experience. We do have smart boards but the wifi is sometimes slow and doesn't work. There is proper sunlight in classroom that is for sure. I would suggest students to come here for study and some basic entertainment. The teachers here were a little rude to me and constantly pressure me for assignments. The attendance is also strict here. Overall academics is good here. There is first of all no placements here and forget about getting placed. The college does show students getting placed at firms but that's because of their own hardwork and it has nothing to do with college. They just put posters and trick students.,Career360
"ICFAI Business School, Mumbai",3.1,"Good Academics, Weak HR Placements, Costly IBS Mumbai has a campus but it is pretty ok for learning. the classroom and labs at IBS mumbai are good. The library is somewhat big and really helpful for studies. I think being in powai is a plus for the college because it is easy to get to and has a good location. but for the amount of money that they are charging think the campus should be bigger and have things to do.I I just complete my post graduation in Human Resource because I want to become a Learning and Development Specialist and do well in that field. The teachers are usually good. They know what they are talking about. one thing I found tough was That we have to give presentation very early on from like from initial days , which was hard if you are not a confident person I think they should teach us first and then ask us to give presentations so we can do it easily. My experience with the placement was not good. it took a lot of time for me to get a placement .I looked for jobs outside of the college to get a job in HR. some companies do come to the college but not many jobs available in this profile. There a four domain in IBS mumbai 1. Finance 2. Marketing, 3. Operations, 4. HR and companies comes in that order with intake in IBS.",Career360
"Kashi Institute of Technology, Varanasi",2.9,"It's not best for take admission for placement. Facilities of our college is not best many things is not better in our college like no any Wi-Fi, no better air conditioner always it's no work in summer season and same conditions of computer lab many computer is not well. Teachers are better in our college they use their full potential to give knowledge to us make a health environment of students and teacher so you can trust on teacher but schedule is not follow in our college. Placement is not well in our college for our course because only marketing and sales company in our college so we can not make our future on our passion so it difficult to choose the college for make future.",Career360
SRM University Chennai,4.0,"It has a techinal fest named Arush organised by a club named Arush, Cultural fest named Milan organised by DSA and there are more than 100 of clubs through out the campus, also it has sports club and the classrooms have Ac's smart board and very comfortable chairs and table, the college has a library consisting of 3 floors and consists various books, also if u are the head of any club then it helps in your placement as h can mention it in your resume",Collegedunia
